autor_comentarios,corpo_comentarios,data_comentarios,endereco_comentarios,titulo_comentarios
Lucy L,"Building is amazing from the outside but you only get Access to a tiny portion of the building inside which made it seem underwhelming. We were so excited when we looked from the outside! Kind of a ‘is this it’ feeling, as a historian I’ve had the opportunity to visit some amazing and similar places in Spain and Portugal, this one didn’t do it for me. ","Written July 21, 2018","Reading, UK",Underwhelming inside tour circuit
netgrom,"Go to the museum next door and buy your ticket, then walk up to the line in the middle show your tickets and your through!  Saved about 45+ mins!  Once inside it’s very nice but wouldn’t spend more then 30 mins there. Recommend 2-3 hours is just for the line !","Written July 21, 2018","Brisbane, Australia",How to jump the line
Carol L,"It is no doubt this is a stunning historical  great architectural building. A must see when you are in Lisbon. I’m sure the Portugal government is well aware of it however they need to do something about the admission process. It was a hot day with the sun beating down relentlessly on people who were queuing up to get in. We bought Lisboacards to get around the city which included free entry to the monastery.  The whole admission system is flawed as people who don’t have  tickets and people who have Lisboascards also have to be in the same queue. The Portugueses’ logic of it is so that they can issue separate entry tickets for the attraction. In the real world, all needed to relieve the length of the queue is to have a separate queue for Lisboacard holders to gain free entry. I don’t see why they cannot do that!","Written July 21, 2018","Felbridge, UK",Needs improvement on admission 
Beverly H,"Amazing building, we were early so got to look around before it filled up, Sun streaming in gave it a magical feel. listen to the advice of the man outside in the hat selling stuff because we were able to jump the ticket queue by pre buying and saved ourself at least an 45 min wait.","Written July 21, 2018","Braintree, UK",Stunning Building
Helen S,"We got here by 10am on a Sunday, but hundreds of early birds had got there before us so we decided against joining the queue that seemed to be barely moving. I guess you've got to be up with the lark to avoid the crowds, maybe next time...","Written July 20, 2018","London, UK",Massive Queues
Philip H,"Very impressed: a gem of Manueline architecture: if you're into that sort of thing, of course. We managed to avoid any significant queues but I would guess they can be lengthy.","Written July 20, 2018","Bradford-on-Avon, UK",Great Manueline architecture
Angelica F,This is more of a warning for anyone planning to visit.  Don’t assume the Lisboa card will allow you to skip the line. With the Lisboa card you still have to stand in line.  The only way to skip the line is to buy tickets ahead.,"Written July 19, 2018",6 contributions,Lisboa card means long lines - had to skip
Gonzolongo,We arrived in the early afternoon. Unfortunately the queues were very long and didn’t seem to be moving so we didn’t even go in. Probably should have gone earlier. Nevertheless we went to the monument instead which was just a short walk away.,"Written July 19, 2018","Edenbridge, UK",Queues to long and very slow....
Dennis O,"This is an amazing building.  A person could spend many hours in it.  Be aware, even though it is not classed as a museum, it is closed on Mondays.","Written July 19, 2018","Saint Paul, MN",Remarkable facility
,,,,
Daniel D,"We unfortunately visited on “free” Sunday. As a none local we had to pay. The line was a few hundred metres long, but we avoided the wait by buying a combine ticket with the archeological museum next door. This allows you to got straight to the entrance, not queue for the tickets at the monastery. Interiors are worth the admission. ","Written July 19, 2018","London, UK",Buy a combined ticket and skip the line. 
NJNBW,Visited the cloisters. The architecture was very interesting. I didn’t realize it was free to see the church next door! A good stop while visiting Lisbon.,"Written July 18, 2018","River Vale, NJ",Beautiful cloisters
Lauren M,"This was one of the highlights of my trip to Lisbon. Breath-takingly beautiful. Also, we bought the ""skip the line"" passes on getyourguide.com and it was worth every penny. There were long lines to buy tickets and to get in when we arrived. However, we showed our tickets to the security guard and he let us right in ahead of everyone. Well worth it. I highly recommend visiting if you have the time.","Written July 18, 2018","Grand Blanc, MI",Simply amazing
_rocorcgs,"Buy a Lisboa 1, 2 or 3 day pass and get in to visit this and many other sites for free or at a discount!","Written July 18, 2018","Calgary, Canada",Must visit
Ru Freeman,"I loved this place. The stained glass and the interiors are simply gorgeous. I would recommend going by yourself or, if with a group, doing your own solitary exploration and meeting up after. ","Written July 18, 2018","Philadelphia, PA",Go alone and go slow
MadcyclistLondon,"If history is your thing, visiting the Monastery is crucial to understand Portuguese history and architectural style. Nearby you have the monument to the explorers and the famous Torre de Belem. Don't forget to try the custard tarts !","Written July 18, 2018","London, UK",Not to miss when visiting Lisbon
julamparelli,"It is a really beautiful place, and worth a visit.","Written July 18, 2018","Sao Paulo, SP",Beautiful place 
melansoncandelad2018,I consider this attraction to be the highlight of my visit to Lisbon.  The intricate designs in the architecture which have an almost lacylike pattern gave me the sense I was in a fairy castle. Not to be missed!,"Written July 18, 2018",5 contributions,Stunning architecture
Dennis S,Impressive structure along the Tagus.  Walking through the complex gives you sense of the history of both the city and country.,"Written July 17, 2018","Waynesville, NC",Great Insight Into Lisbon and Portugal
greenham01,"Very beautiful and impressive from the outside. Lovely architecture both inside and outside. Having a guide point out the various features and differences between gothic, and manuelan (sp) features enhanced our experience. ","Written July 17, 2018","San Jose, CA",Beautiful architecture - serene away from the maddening crowd
